infinitive_english,infinitive,mood,mood_english,tense,tense_english,verb_english,1st person singular,2nd person singular,3rd person singular,1st person plural,2nd person plural,third person plural,gerund,pastparticiple
"to enrich, make rich",enriquecer,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I enriched, was enriching",enriqueciera,enriquecieras,enriqueciera,enriqueciéramos,enriquecierais,enriquecieran,enriqueciendo,enriquecido
"to enrich, make rich",enriquecer,Subjuntivo,Subjunctive,Futuro,Future,I will enrich,enriqueciere,enriquecieres,enriqueciere,enriqueciéremos,enriqueciereis,enriquecieren,enriqueciendo,enriquecido
"to enrich, make rich",enriquecer,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have enriched, enriched",haya enriquecido,hayas enriquecido,haya enriquecido,hayamos enriquecido,hayáis enriquecido,hayan enriquecido,enriqueciendo,enriquecido
"to enrich, make rich",enriquecer,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have enriched,hubiere enriquecido,hubieres enriquecido,hubiere enriquecido,hubiéremos enriquecido,hubiereis enriquecido,hubieren enriquecido,enriqueciendo,enriquecido
"to enrich, make rich",enriquecer,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had enriched,hubiera enriquecido,hubieras enriquecido,hubiera enriquecido,hubiéramos enriquecido,hubierais enriquecido,hubieran enriquecido,enriqueciendo,enriquecido
"to enrich, make rich",enriquecer,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Enrich! Don't enrich!,,enriquece,enriqueced,,enriquezca,enriquezcan,enriqueciendo,enriquecido
"to enrich, make rich",enriquecer,Imperativo Negativo,Imperative Negative,Presente,Present,Enrich! Don't enrich!,,no enriquezcas,no enriquezcáis,,no enriquezca,no enriquezcan,enriqueciendo,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Presente,Present,"I get rich, am getting rich",me enriquezco,te enriqueces,se enriquece,nos enriquecemos,os enriquecéis,se enriquecen,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Futuro,Future,I will get rich,me enriqueceré,te enriquecerás,se enriquecerá,nos enriqueceremos,os enriqueceréis,se enriquecerán,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Imperfecto,Imperfect,"I was getting rich, used to get rich, got rich",me enriquecía,te enriquecías,se enriquecía,nos enriquecíamos,os enriquecíais,se enriquecían,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Pretérito,Preterite,I got rich,me enriquecí,te enriqueciste,se enriqueció,nos enriquecimos,os enriquecisteis,se enriquecieron,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Condicional,Conditional,I would get rich,me enriquecería,te enriquecerías,se enriquecería,nos enriqueceríamos,os enriqueceríais,se enriquecerían,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Presente perfecto,Present Perfect,I have gotten rich,me he enriquecido,te has enriquecido,se ha enriquecido,nos hemos enriquecido,os habéis enriquecido,se han enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have gotten rich,me habré enriquecido,te habrás enriquecido,se habrá enriquecido,nos habremos enriquecido,os habréis enriquecido,se habrán enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had gotten rich,me había enriquecido,te habías enriquecido,se había enriquecido,nos habíamos enriquecido,os habíais enriquecido,se habían enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had gotten rich,me hube enriquecido,te hubiste enriquecido,se hubo enriquecido,nos hubimos enriquecido,os hubisteis enriquecido,se hubieron enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have gotten rich,me habría enriquecido,te habrías enriquecido,se habría enriquecido,nos habríamos enriquecido,os habríais enriquecido,se habrían enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Subjuntivo,Subjunctive,Presente,Present,"I get rich, am getting rich",me enriquezca,te enriquezcas,se enriquezca,nos enriquezcamos,os enriquezcáis,se enriquezcan,enriqueciéndose,enriquecido
to get rich,enriquecerse,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I got rich, was getting rich",me enriqueciera,te enriquecieras,se enriqueciera,nos enriqueciéramos,os enriquecierais,se enriquecieran,enriqueciéndose,enriquecido
to get rich,enriquecerse,Subjuntivo,Subjunctive,Futuro,Future,I will get rich,me enriqueciere,te enriquecieres,se enriqueciere,nos enriqueciéremos,os enriqueciereis,se enriquecieren,enriqueciéndose,enriquecido
to get rich,enriquecerse,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have gotten rich, gotten rich",me haya enriquecido,te hayas enriquecido,se haya enriquecido,nos hayamos enriquecido,os hayáis enriquecido,se hayan enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have gotten rich,me hubiere enriquecido,te hubieres enriquecido,se hubiere enriquecido,nos hubiéremos enriquecido,os hubiereis enriquecido,se hubieren enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had gotten rich,me hubiera enriquecido,te hubieras enriquecido,se hubiera enriquecido,nos hubiéramos enriquecido,os hubierais enriquecido,se hubieran enriquecido,enriqueciéndose,enriquecido
to get rich,enriquecerse,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Get rich! Don't get rich!,,enriquécete,enriqueceos,,enriquézcase,enriquézcanse,enriqueciéndose,enriquecido
to get rich,enriquecerse,Imperativo Negativo,Imperative Negative,Presente,Present,Get rich! Don't get rich!,,no te enriquezcas,no os enriquezcáis,,no se enriquezca,no se enriquezcan,enriqueciéndose,enriquecido
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Presente,Present,"I teach, am teaching",enseño,enseñas,enseña,enseñamos,enseñáis,enseñan,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Futuro,Future,I will teach,enseñaré,enseñarás,enseñará,enseñaremos,enseñaréis,enseñarán,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Imperfecto,Imperfect,"I was teaching, used to teach, taught",enseñaba,enseñabas,enseñaba,enseñábamos,enseñabais,enseñaban,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Pretérito,Preterite,I taught,enseñé,enseñaste,enseñó,enseñamos,enseñasteis,enseñaron,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Condicional,Conditional,I would teach,enseñaría,enseñarías,enseñaría,enseñaríamos,enseñaríais,enseñarían,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have taught,he enseñado,has enseñado,ha enseñado,hemos enseñado,habéis enseñado,han enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have taught,habré enseñado,habrás enseñado,habrá enseñado,habremos enseñado,habréis enseñado,habrán enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had taught,había enseñado,habías enseñado,había enseñado,habíamos enseñado,habíais enseñado,habían enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had taught,hube enseñado,hubiste enseñado,hubo enseñado,hubimos enseñado,hubisteis enseñado,hubieron enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have taught,habría enseñado,habrías enseñado,habría enseñado,habríamos enseñado,habríais enseñado,habrían enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Subjuntivo,Subjunctive,Presente,Present,"I teach, am teaching",enseñe,enseñes,enseñe,enseñemos,enseñéis,enseñen,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I taught, was teaching",enseñara,enseñaras,enseñara,enseñáramos,enseñarais,enseñaran,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Subjuntivo,Subjunctive,Futuro,Future,I will teach,enseñare,enseñares,enseñare,enseñáremos,enseñareis,enseñaren,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have taught, taught",haya enseñado,hayas enseñado,haya enseñado,hayamos enseñado,hayáis enseñado,hayan enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have taught,hubiere enseñado,hubieres enseñado,hubiere enseñado,hubiéremos enseñado,hubiereis enseñado,hubieren enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had taught,hubiera enseñado,hubieras enseñado,hubiera enseñado,hubiéramos enseñado,hubierais enseñado,hubieran enseñado,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Teach! Don't teach!,,enseña,enseñad,,enseñe,enseñen,enseñando,enseñado
"to teach, instruct, train, educate",enseñar,Imperativo Negativo,Imperative Negative,Presente,Present,Teach! Don't teach!,,no enseñes,no enseñéis,,no enseñe,no enseñen,enseñando,enseñado
to dirty,ensuciar,Indicativo,Indicative,Presente,Present,"I dirty, am dirtying",ensucio,ensucias,ensucia,ensuciamos,ensuciáis,ensucian,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Futuro,Future,I will dirty,ensuciaré,ensuciarás,ensuciará,ensuciaremos,ensuciaréis,ensuciarán,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Imperfecto,Imperfect,"I was dirtying, used to dirty, dirtied",ensuciaba,ensuciabas,ensuciaba,ensuciábamos,ensuciabais,ensuciaban,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Pretérito,Preterite,I dirtied,ensucié,ensuciaste,ensució,ensuciamos,ensuciasteis,ensuciaron,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Condicional,Conditional,I would dirty,ensuciaría,ensuciarías,ensuciaría,ensuciaríamos,ensuciaríais,ensuciarían,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have dirtied,he ensuciado,has ensuciado,ha ensuciado,hemos ensuciado,habéis ensuciado,han ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have dirtied,habré ensuciado,habrás ensuciado,habrá ensuciado,habremos ensuciado,habréis ensuciado,habrán ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had dirtied,había ensuciado,habías ensuciado,había ensuciado,habíamos ensuciado,habíais ensuciado,habían ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had dirtied,hube ensuciado,hubiste ensuciado,hubo ensuciado,hubimos ensuciado,hubisteis ensuciado,hubieron ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have dirtied,habría ensuciado,habrías ensuciado,habría ensuciado,habríamos ensuciado,habríais ensuciado,habrían ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Subjuntivo,Subjunctive,Presente,Present,"I dirty, am dirtying",ensucie,ensucies,ensucie,ensuciemos,ensuciéis,ensucien,ensuciando,ensuciado
to dirty,ensuciar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I dirtied, was dirtying",ensuciara,ensuciaras,ensuciara,ensuciáramos,ensuciarais,ensuciaran,ensuciando,ensuciado
to dirty,ensuciar,Subjuntivo,Subjunctive,Futuro,Future,I will dirty,ensuciare,ensuciares,ensuciare,ensuciáremos,ensuciareis,ensuciaren,ensuciando,ensuciado
to dirty,ensuciar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have dirtied, dirtied",haya ensuciado,hayas ensuciado,haya ensuciado,hayamos ensuciado,hayáis ensuciado,hayan ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have dirtied,hubiere ensuciado,hubieres ensuciado,hubiere ensuciado,hubiéremos ensuciado,hubiereis ensuciado,hubieren ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had dirtied,hubiera ensuciado,hubieras ensuciado,hubiera ensuciado,hubiéramos ensuciado,hubierais ensuciado,hubieran ensuciado,ensuciando,ensuciado
to dirty,ensuciar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Dirty! Don't dirty!,,ensucia,ensuciad,,ensucie,ensucien,ensuciando,ensuciado
to dirty,ensuciar,Imperativo Negativo,Imperative Negative,Presente,Present,Dirty! Don't dirty!,,no ensucies,no ensuciéis,,no ensucie,no ensucien,ensuciando,ensuciado
to understand,entender,Indicativo,Indicative,Presente,Present,"I understand, am understanding",entiendo,entiendes,entiende,entendemos,entendéis,entienden,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Futuro,Future,I will understand,entenderé,entenderás,entenderá,entenderemos,entenderéis,entenderán,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Imperfecto,Imperfect,"I was understanding, used to understand, understood",entendía,entendías,entendía,entendíamos,entendíais,entendían,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Pretérito,Preterite,I understood,entendí,entendiste,entendió,entendimos,entendisteis,entendieron,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Condicional,Conditional,I would understand,entendería,entenderías,entendería,entenderíamos,entenderíais,entenderían,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Presente perfecto,Present Perfect,I have understood,he entendido,has entendido,ha entendido,hemos entendido,habéis entendido,han entendido,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have understood,habré entendido,habrás entendido,habrá entendido,habremos entendido,habréis entendido,habrán entendido,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had understood,había entendido,habías entendido,había entendido,habíamos entendido,habíais entendido,habían entendido,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had understood,hube entendido,hubiste entendido,hubo entendido,hubimos entendido,hubisteis entendido,hubieron entendido,entendiendo,entendido
to understand,entender,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have understood,habría entendido,habrías entendido,habría entendido,habríamos entendido,habríais entendido,habrían entendido,entendiendo,entendido
to understand,entender,Subjuntivo,Subjunctive,Presente,Present,"I understand, am understanding",entienda,entiendas,entienda,entendamos,entendáis,entiendan,entendiendo,entendido
to understand,entender,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I understood, was understanding",entendiera,entendieras,entendiera,entendiéramos,entendierais,entendieran,entendiendo,entendido
to understand,entender,Subjuntivo,Subjunctive,Futuro,Future,I will understand,entendiere,entendieres,entendiere,entendiéremos,entendiereis,entendieren,entendiendo,entendido
to understand,entender,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have understood, understood",haya entendido,hayas entendido,haya entendido,hayamos entendido,hayáis entendido,hayan entendido,entendiendo,entendido
to understand,entender,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have understood,hubiere entendido,hubieres entendido,hubiere entendido,hubiéremos entendido,hubiereis entendido,hubieren entendido,entendiendo,entendido
to understand,entender,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had understood,hubiera entendido,hubieras entendido,hubiera entendido,hubiéramos entendido,hubierais entendido,hubieran entendido,entendiendo,entendido
to understand,entender,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Understand! Don't understand!,,entiende,entended,,entienda,entiendan,entendiendo,entendido
to understand,entender,Imperativo Negativo,Imperative Negative,Presente,Present,Understand! Don't understand!,,no entiendas,no entendáis,,no entienda,no entiendan,entendiendo,entendido
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Presente,Present,"I find out, am finding out",me entero,te enteras,se entera,nos enteramos,os enteráis,se enteran,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Futuro,Future,I will find out,me enteraré,te enterarás,se enterará,nos enteraremos,os enteraréis,se enterarán,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Imperfecto,Imperfect,"I was finding out, used to find out, found out",me enteraba,te enterabas,se enteraba,nos enterábamos,os enterabais,se enteraban,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Pretérito,Preterite,I found out,me enteré,te enteraste,se enteró,nos enteramos,os enterasteis,se enteraron,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Condicional,Conditional,I would find out,me enteraría,te enterarías,se enteraría,nos enteraríamos,os enteraríais,se enterarían,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Presente perfecto,Present Perfect,I have found out,me he enterado,te has enterado,se ha enterado,nos hemos enterado,os habéis enterado,se han enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have found out,me habré enterado,te habrás enterado,se habrá enterado,nos habremos enterado,os habréis enterado,se habrán enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had found out,me había enterado,te habías enterado,se había enterado,nos habíamos enterado,os habíais enterado,se habían enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had found out,me hube enterado,te hubiste enterado,se hubo enterado,nos hubimos enterado,os hubisteis enterado,se hubieron enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have found out,me habría enterado,te habrías enterado,se habría enterado,nos habríamos enterado,os habríais enterado,se habrían enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Subjuntivo,Subjunctive,Presente,Present,"I find out, am finding out",me entere,te enteres,se entere,nos enteremos,os enteréis,se enteren,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I found out, was finding out",me enterara,te enteraras,se enterara,nos enteráramos,os enterarais,se enteraran,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Subjuntivo,Subjunctive,Futuro,Future,I will find out,me enterare,te enterares,se enterare,nos enteráremos,os enterareis,se enteraren,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have found out, found out",me haya enterado,te hayas enterado,se haya enterado,nos hayamos enterado,os hayáis enterado,se hayan enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have found out,me hubiere enterado,te hubieres enterado,se hubiere enterado,nos hubiéremos enterado,os hubiereis enterado,se hubieren enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had found out,me hubiera enterado,te hubieras enterado,se hubiera enterado,nos hubiéramos enterado,os hubierais enterado,se hubieran enterado,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,find out! Don't find out!,,entérate,enteraos,,entérese,entérense,enterándose,enterado
"to find out about something, to learn of something)",enterarse,Imperativo Negativo,Imperative Negative,Presente,Present,find out! Don't find out!,,no te enteres,no os enteréis,,no se entere,no se enteren,enterándose,enterado
"to enter, go in, come in",entrar,Indicativo,Indicative,Presente,Present,"I enter, am entering",entro,entras,entra,entramos,entráis,entran,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Futuro,Future,I will enter,entraré,entrarás,entrará,entraremos,entraréis,entrarán,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Imperfecto,Imperfect,"I was entering, used to enter, entered",entraba,entrabas,entraba,entrábamos,entrabais,entraban,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Pretérito,Preterite,I entered,entré,entraste,entró,entramos,entrasteis,entraron,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Condicional,Conditional,I would enter,entraría,entrarías,entraría,entraríamos,entraríais,entrarían,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have entered,he entrado,has entrado,ha entrado,hemos entrado,habéis entrado,han entrado,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have entered,habré entrado,habrás entrado,habrá entrado,habremos entrado,habréis entrado,habrán entrado,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had entered,había entrado,habías entrado,había entrado,habíamos entrado,habíais entrado,habían entrado,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had entered,hube entrado,hubiste entrado,hubo entrado,hubimos entrado,hubisteis entrado,hubieron entrado,entrando,entrado
"to enter, go in, come in",entrar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have entered,habría entrado,habrías entrado,habría entrado,habríamos entrado,habríais entrado,habrían entrado,entrando,entrado
"to enter, go in, come in",entrar,Subjuntivo,Subjunctive,Presente,Present,"I enter, am entering",entre,entres,entre,entremos,entréis,entren,entrando,entrado
"to enter, go in, come in",entrar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I entered, was entering",entrara,entraras,entrara,entráramos,entrarais,entraran,entrando,entrado
"to enter, go in, come in",entrar,Subjuntivo,Subjunctive,Futuro,Future,I will enter,entrare,entrares,entrare,entráremos,entrareis,entraren,entrando,entrado
"to enter, go in, come in",entrar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have entered, entered",haya entrado,hayas entrado,haya entrado,hayamos entrado,hayáis entrado,hayan entrado,entrando,entrado
"to enter, go in, come in",entrar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have entered,hubiere entrado,hubieres entrado,hubiere entrado,hubiéremos entrado,hubiereis entrado,hubieren entrado,entrando,entrado
"to enter, go in, come in",entrar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had entered,hubiera entrado,hubieras entrado,hubiera entrado,hubiéramos entrado,hubierais entrado,hubieran entrado,entrando,entrado
"to enter, go in, come in",entrar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Enter! Don't enter!,,entra,entrad,,entre,entren,entrando,entrado
"to enter, go in, come in",entrar,Imperativo Negativo,Imperative Negative,Presente,Present,Enter! Don't enter!,,no entres,no entréis,,no entre,no entren,entrando,entrado
"to deliver, hand over",entregar,Indicativo,Indicative,Presente,Present,"I deliver, am delivering",entrego,entregas,entrega,entregamos,entregáis,entregan,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Futuro,Future,I will deliver,entregaré,entregarás,entregará,entregaremos,entregaréis,entregarán,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Imperfecto,Imperfect,"I was delivering, used to deliver, delivered",entregaba,entregabas,entregaba,entregábamos,entregabais,entregaban,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Pretérito,Preterite,I delivered,entregué,entregaste,entregó,entregamos,entregasteis,entregaron,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Condicional,Conditional,I would deliver,entregaría,entregarías,entregaría,entregaríamos,entregaríais,entregarían,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have delivered,he entregado,has entregado,ha entregado,hemos entregado,habéis entregado,han entregado,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have delivered,habré entregado,habrás entregado,habrá entregado,habremos entregado,habréis entregado,habrán entregado,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had delivered,había entregado,habías entregado,había entregado,habíamos entregado,habíais entregado,habían entregado,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had delivered,hube entregado,hubiste entregado,hubo entregado,hubimos entregado,hubisteis entregado,hubieron entregado,entregando,entregado
"to deliver, hand over",entregar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have delivered,habría entregado,habrías entregado,habría entregado,habríamos entregado,habríais entregado,habrían entregado,entregando,entregado
"to deliver, hand over",entregar,Subjuntivo,Subjunctive,Presente,Present,"I deliver, am delivering",entregue,entregues,entregue,entreguemos,entreguéis,entreguen,entregando,entregado
"to deliver, hand over",entregar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I delivered, was delivering",entregara,entregaras,entregara,entregáramos,entregarais,entregaran,entregando,entregado
"to deliver, hand over",entregar,Subjuntivo,Subjunctive,Futuro,Future,I will deliver,entregare,entregares,entregare,entregáremos,entregareis,entregaren,entregando,entregado
"to deliver, hand over",entregar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have delivered, delivered",haya entregado,hayas entregado,haya entregado,hayamos entregado,hayáis entregado,hayan entregado,entregando,entregado
"to deliver, hand over",entregar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have delivered,hubiere entregado,hubieres entregado,hubiere entregado,hubiéremos entregado,hubiereis entregado,hubieren entregado,entregando,entregado
"to deliver, hand over",entregar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had delivered,hubiera entregado,hubieras entregado,hubiera entregado,hubiéramos entregado,hubierais entregado,hubieran entregado,entregando,entregado
"to deliver, hand over",entregar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Deliver! Don't deliver!,,entrega,entregad,,entregue,entreguen,entregando,entregado
"to deliver, hand over",entregar,Imperativo Negativo,Imperative Negative,Presente,Present,Deliver! Don't deliver!,,no entregues,no entreguéis,,no entregue,no entreguen,entregando,entregado
"to entertain, amuse",entretener,Indicativo,Indicative,Presente,Present,"I entertain, am entertaining",entretengo,entretienes,entretiene,entretenemos,entretenéis,entretienen,entreteniendo,entretenido
"to entertain, amuse",entretener,Indicativo,Indicative,Futuro,Future,I will entertain,entretendré,entretendrás,entretendrá,entretendremos,entretendréis,entretendrán,entreteniendo,entretenido
"to entertain, amuse",entretener,Indicativo,Indicative,Imperfecto,Imperfect,"I was entertaining, used to entertain, entertained",entretenía,entretenías,entretenía,entreteníamos,entreteníais,entretenían,entreteniendo,entretenido
"to entertain, amuse",entretener,Indicativo,Indicative,Pretérito,Preterite,I entertained,entretuve,entretuviste,entretuvo,entretuvimos,entretuvisteis,entretuvieron,entreteniendo,entretenido
"to entertain, amuse",entretener,Indicativo,Indicative,Condicional,Conditional,I would entertain,entretendría,entretendrías,entretendría,entretendríamos,entretendríais,entretendrían,entreteniendo,entretenido
"to entertain, amuse",entretener,Indicativo,Indicative,Presente perfecto,Present Perfect,I have entertained,he entretenido,has entretenido,ha entretenido,hemos entretenido,habéis entretenido,han entretenido,entreteniendo,entretenido
"to entertain, amuse",entretener,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have entertained,habré entretenido,habrás entretenido,habrá entretenido,habremos entretenido,habréis entretenido,habrán entretenido,entreteniendo,entretenido
